date,growth,term,inflation,credit,buyout,vc,fof_secondary,fof_primary,senior_loan,mezzanine,apac_equity,hfri_fof_cons,msci_gpfi,re_noncore,gl1,gl2,epra_nareit,infra_core,ftse_fi_infra
2013-03-31,0.06502495402,2.375014902e-05,-0.003631541762,0.001576483239,0.0302,0.0373,0.0093,0.0157,0.0076,0.0546,0.0346,0.02771370305,0.008924,0.0218,0.018125,0.0258241,0.0626097083,-0.0163,-0.003593100214
2013-06-30,-0.004231941465,-0.04175176934,-0.02842066781,-0.005863255049,0.0351,0.0484,0.0229,0.0196,0.0034,0.0276,-0.0152,0.008089670457,0.000813,0.0341,-0.01201,0.0193642,-0.03629999492,0.0321,-0.04011748102
2013-09-30,0.07903815019,-4.95687523e-05,0.007877507428,0.007311277293,0.0566,0.0861,0.0373,0.0446,0.0406,0.0344,0.0345,0.01234748866,0.045818,0.0343,0.015674,0.0047014,0.02439945115,0.0528,0.0003703521206
2013-12-31,0.07312362506,-0.01945669955,-0.0008784578013,0.02679946714,0.0717,0.0993,0.0742,0.0724,0.0285,0.0451,0.0949,0.02683371531,0.024718,0.0727,0.006925,0.0344505,-0.004893191581,0.0441,0.01504693627
2014-03-31,0.01084832126,0.02644018099,-0.006578037159,0.01000800142,0.0339,0.0359,0.0212,0.0299,0.0293,0.0337,0.0339,0.01304342469,0.032529,0.0249,0.021222,0.0250983,0.0401442307,0.0346,0.0394132122
2014-06-30,0.05040188604,0.02489718521,0.01259784843,0.009380281572,0.0488,0.0377,0.0386,0.0486,0.0208,0.0338,0.0437,0.01303697684,0.037198,0.042,0.018332,0.0118294,0.07875876134,0.0208,0.0380519945
2014-09-30,-0.02305029756,0.004685472632,-0.02534635013,-0.00661750369,-0.0088,0.0254,0.0129,0.0023,-0.0071,-0.0213,0.0314,0.002459693422,0.002207,0.0295,0.016005,0.0423623,-0.04433127586,-0.0273,-0.0008458107343
2014-12-31,0.004127711415,0.03125822113,-0.03075528842,-0.01064553834,0.0224,0.0789,0.025,0.0427,0.0044,-0.0094,0.0438,0.002541486851,0.009865,0.05,0.016398,0.0373498,0.08073157655,-0.0146,0.01542406561
2015-03-31,0.02306545528,0.02534786642,-0.01086293135,0.005095986817,0.0114,0.0335,0.0086,0.0139,-0.0152,-0.0006,0.0417,0.0191631545,-0.001298,0.0228,0.013117,0.0169166,0.04169574107,-0.0634,0.03255452805
2015-06-30,0.003479972909,-0.02431411576,0.01481645008,-0.005595811919,0.0588,0.0491,0.0604,0.0519,0.0323,0.013,0.0556,0.002785194858,0.046647,0.0374,-0.005153,0.0268116,-0.06671553096,0.0769,-0.04004583948
2015-09-30,-0.09449924084,0.02976494042,-0.04106342746,-0.01762197437,-0.0005,-0.0056,0.0101,0.0013,0.0026,-0.04,-0.0515,-0.01796094543,0.008301,0.0156,0.015671,-0.0308285,-0.01421158739,0.0056,-0.009732842736
2015-12-31,0.05028970394,-0.01346179821,0.006974864908,0.01004413663,0.0233,0.0242,0.0003,0.0244,0,-0.0242,0.0746,1.653178202e-05,0.029536,0.0294,0.003214,0.0483364,0.0439956207,-0.0059,-0.02976230366
2016-03-31,0.002381892614,0.04673238408,-0.002366197633,-0.001185240706,0.0229,-0.0263,0.0033,0.0042,0.0288,0.0087,-0.0072,-0.02078738033,0.028974,0.0197,0.03203,0.0457854,0.05432644158,0.0351,0.06042710691
2016-06-30,0.009888596168,0.02757673526,-0.01121046227,0.01122777406,0.027,0.0032,-0.0008,0.009,0.0136,0.0172,0.0162,0.005244364469,0.000611,0.0102,0.021784,0.0244307,0.03743821818,0.0057,0.06810678859
2016-09-30,0.05301818089,-0.005176400704,0.01511940757,0.01856274826,0.0451,0.0292,0.0196,0.0283,0.0292,0.0366,0.0339,0.01840753051,0.016867,0.0219,0.000498,0.0240014,0.01455642705,0.0141,0.02327742544
2016-12-31,0.01189455216,-0.05559465165,0.03492095311,0.01811778253,0.0305,0.0063,0.0321,0.0246,-0.0026,0.0384,0.0074,0.01638263978,0.002818,0.0187,-0.024797,0.0128928,-0.05394017582,0.0159,-0.02374480985
2017-03-31,0.06908210638,0.009438648783,0.00301471672,0.004910478423,0.0438,0.0308,0.0253,0.0265,0.0257,0.0259,0.0576,0.01211272792,0.030101,0.0297,0.020064,0.0245567,0.02296601053,0.0701,0.01354890378
2017-06-30,0.04273191853,0.01400322119,-0.01815949992,0.01015778135,0.0675,0.0195,0.0536,0.0417,0.0353,0.0304,0.0459,0.003717443514,0.030033,0.0438,0.02111,0.0323816,0.03005515045,0.0529,0.02956820483
